,ano,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,tipo_emissao,gas,atividade_economica,produto,emissao
242027,1997,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,569960.71
242028,1998,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,655263.35
242029,1999,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,744308.74
242030,2000,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,784053.33
242031,2001,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,800156.0
242032,2002,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,276369.67
242033,2003,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,476184.06
242034,2004,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,459046.3
242035,2005,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,489090.16
242036,2006,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,224277.43
242037,2007,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,314110.85
242038,2008,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,470922.35
242039,2009,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,503886.92
242040,2010,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,2801544.0
242041,2011,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,2903222.2
242042,2012,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,3657110.0
242043,2013,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,4021074.9
242044,2014,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,4671908.7
242045,2015,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,4122237.6
242046,2016,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,3001893.8
242047,2017,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,2758391.8
242048,2018,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,2595185.8
242049,2019,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,2793315.5
242050,1970,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,172885.14
242051,1971,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,164905.83
242052,1972,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,183524.23
242053,1973,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,351089.82
242054,1974,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,388326.62
242055,1975,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,433542.73
242056,1976,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,446841.59
242057,1977,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,470779.53
242058,1978,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2e (t) GTP-AR2,PROD_COMB,,492057.7
