,ano,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,tipo_emissao,gas,atividade_economica,produto,emissao
246326,1996,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,35.724843
246327,1997,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,38.458887
246328,1998,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,44.214801
246329,1999,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,50.223262
246330,2000,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,52.905083
246331,2001,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,53.991633
246332,2002,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,18.648426
246333,2003,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,32.131178
246334,2004,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,30.974784
246335,2005,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,33.002035
246336,2006,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,15.13343
246337,2007,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,21.195064
246338,2008,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,31.776137
246339,2009,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,34.000467
246340,2010,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,189.03806
246341,2011,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,195.89893
246342,2012,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,246.76855
246343,2013,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,271.32759
246344,2014,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,315.2435
246345,2015,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,278.15369
246346,2016,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,202.55694
246347,2017,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,186.1263
246348,2018,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,175.11375
246349,2019,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,COVNM (t),PROD_COMB,,188.48283
246350,1970,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,1.3578833
246351,1971,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,1.2952117
246352,1972,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,1.4414453
246353,1973,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,2.7575476
246354,1974,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.0500148
246355,1975,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.4051535
246356,1976,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.509606
246357,1977,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.6976206
246358,1978,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.8647447
246359,1979,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,4.4287886
246360,1980,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,6.0140686
246361,1981,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,5.7558395
246362,1982,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,7.631589
246363,1983,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,9.0633581
246364,1984,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,7.3655782
246365,1985,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,8.6302458
246366,1986,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,9.3330586
246367,1987,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,8.4759242
246368,1988,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,10.017471
246369,1989,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,9.5597623
246370,1990,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,10.651039
246371,1991,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,11.191331
246372,1992,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,12.526664
246373,1993,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,8.2211394
246374,1994,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,6.1410699
246375,1995,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.6752348
246376,1996,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,4.2565436
246377,1997,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,4.5759922
246378,1998,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,5.2536026
246379,1999,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,5.9592914
246380,2000,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,6.2688291
246381,2001,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,6.388722
246382,2002,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,2.2035726
246383,2003,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.791479
246384,2004,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.6550245
246385,2005,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.8942402
246386,2006,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,1.7857447
246387,2007,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,2.5010175
246388,2008,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,3.7495842
246389,2009,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,4.0120551
246390,2010,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,22.306491
246391,2011,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,23.116074
246392,2012,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,29.118689
246393,2013,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,32.016656
246394,2014,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,37.198733
246395,2015,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,32.822135
246396,2016,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,23.901719
246397,2017,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,21.962904
246398,2018,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,20.663423
246399,2019,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,N2O (t),PROD_COMB,,22.240974
246400,1970,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,1165.0965
246401,1971,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,1111.3228
246402,1972,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,1236.7948
246403,1973,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,2366.0422
246404,1974,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,2616.986
246405,1975,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,2921.7036
246406,1976,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,3011.3264
246407,1977,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,3172.6474
246408,1978,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,3316.0439
246409,1979,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,3800.0071
246410,1980,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,5160.2155
246411,1981,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,4938.6488
246412,1982,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,6548.0869
246413,1983,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,7776.5793
246414,1984,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,7211.6926
246415,1985,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,9489.1325
246416,1986,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,11379.507
246417,1987,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,11343.819
246418,1988,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,14593.381
246419,1989,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,15052.606
246420,1990,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,18018.607
246421,1991,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,20236.482
246422,1992,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,24102.569
246423,1993,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,16765.751
246424,1994,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,12567.752
246425,1995,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,7547.7948
246426,1996,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,8772.2774
246427,1997,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,9463.6722
246428,1998,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,10903.091
246429,1999,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,12410.919
246430,2000,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,13101.215
246431,2001,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,13398.428
246432,2002,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,4637.4671
246433,2003,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,8007.0895
246434,2004,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,7718.9161
246435,2005,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,8224.1072
246436,2006,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,3771.2507
246437,2007,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,5281.8099
246438,2008,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,7918.6134
246439,2009,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,8472.9163
246440,2010,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,47108.284
246441,2011,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,48818.014
246442,2012,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,61494.724
246443,2013,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,67614.836
246444,2014,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,78558.681
246445,2015,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,69315.899
246446,2016,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,50477.189
246447,2017,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,46382.675
246448,2018,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,43638.348
246449,2019,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Óleo diesel,Consumo Final Energético,Emissão,NOx (t),PROD_COMB,,46969.921
246450,1970,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246451,1971,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246452,1972,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246453,1973,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246454,1974,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246455,1975,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246456,1976,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246457,1977,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246458,1978,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246459,1979,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246460,1980,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246461,1981,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246462,1982,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246463,1983,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246464,1984,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246465,1985,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246466,1986,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246467,1987,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246468,1988,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
246469,1989,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Produção de carvão mineral e outros,Alcatrão,Consumo Final Energético,Emissão,CH4 (t),PROD_COMB,,0.0
